Index	VoiceGender	Category	FileName	SentenceHebrew	SentenceTranscription	SentenceRussian	Group	TargetWord
210	FEMALE	Женская форма (адаптация 1/2 л.)	s_63c9d63f5dd0_f.mp3	אֲנִי מִתְרַגֶּשֶׁת מֵהַפְּגִישָׁה הַחֲדָשָׁה הַיּוֹם.	анӣ митраге́шет ме-hа-пгишá hа-хадашá hайóм.	Я волнуюсь из-за новой встречи сегодня.	Глаголы	לְהִתְרַגֵּשׁ
211	FEMALE	Нейтральные / Безличные	s_ab66af768a3a.mp3	מְאֹד הִתְרַגַּשְׁתִּי בַּחֲתוּנָּה שֶׁל אָחִי.	меóд hитрагáшти ба-хатунá шель ахӣ́.	Я очень растрогался на свадьбе брата.	Глаголы	לְהִתְרַגֵּשׁ
212	MALE	1-е лицо м.р. (אני רוצה)	s_49d9dd7f7512.mp3	אֲנִי מִשְׁתַּמֵּשׁ בַּמַּחְשֵׁב בָּעֲבוֹדָה תָּמִיד.	анӣ миштамéш ба-махшéв ба-аводá тамӣ́д.	Я всегда пользуюсь компьютером на работе.	Глаголы	לְהִשְׁתַּמֵּשׁ
213	FEMALE	Женская форма (адаптация 1/2 л.)	s_49d9dd7f7512_f.mp3	אֲנִי מִשְׁתַּמֶּשֶׁת בַּמַּחְשֵׁב בָּעֲבוֹדָה תָּמִיד.	анӣ миштаме́шет ба-махшéв ба-аводá тамӣ́д.	Я всегда пользуюсь компьютером на работе.	Глаголы	לְהִשְׁתַּמֵּשׁ
214	FEMALE	Нейтральные / Безличные	s_06e4a3659830.mp3	הִשְׁתַּמַּשְׁתִּי בַּמִּלּוֹן בַּשִּׁעוּר אֶתְמוֹל.	hиштамáшти ба-милóн ба-шиӯ́р этмóль.	Вчера на уроке я пользовался словарём.	Глаголы	לְהִשְׁתַּמֵּשׁ
215	FEMALE	Нейтральные / Безличные	s_e993fbd5c5a0.mp3	הֵם מִתְחַתְּנִים בַּקַּיִץ הַקָּרוֹב בְּיִשְׂרָאֵל.	hэм митхатнӣ́м ба-кáиц hа-карóв бе-исраэ́ль.	Они женятся ближайшим летом в Израиле.	Глаголы	לְהִתְחַתֵּן
216	MALE	3-е лицо м.р. (הוא / דוד)	s_adff542c8478.mp3	דָּוִד הִתְחַתֵּן עִם שָׂרָה.	давӣ́д hитхатéн им сарá.	Давид женился на Саре.	Глаголы	לְהִתְחַתֵּן
217	FEMALE	Нейтральные / Безличные	s_5d97ec69651d.mp3	הָאִישׁ מִתְפַּלֵּל בְּבֵית-הַכְּנֶסֶת בַּבֹּקֶר.	hа-иш митпалéль бе-вéйт-hа-кнéсет ба-бóкер.	Мужчина молится в синагоге утром.	Глаголы	לְהִתְפַּלֵּל
218	FEMALE	Нейтральные / Безличные	s_e2f68e5c7c7f.mp3	הִתְפַּלַּלְנוּ שָׁם בְּיוֹם כִּפּוּר בְּיַחַד.	hитпалáльну шам бе-йом кипӯ́р бé-яхад.	Мы молились там в Судный день вместе.	Глаголы	לְהִתְפַּלֵּל
219	MALE	1-е лицо м.р. (אני רוצה)	s_d90a52c46128.mp3	אֲנִי מִצְטַעֵר עַל הַטָּעוּת הַזֹּאת.	анӣ мицтаэ́р аль hа-таӯ́т hа-зот.	Я сожалею об этой ошибке.	Глаголы	לְהִצְטַעֵר
220	FEMALE	Женская форма (адаптация 1/2 л.)	s_d90a52c46128_f.mp3	אֲנִי מִצְטַעֶרֶת עַל הַטָּעוּת הַזֹּאת.	анӣ мицтаэ́рет аль hа-таӯ́т hа-зот.	Я сожалею об этой ошибке.	Глаголы	לְהִצְטַעֵר
221	FEMALE	Нейтральные / Безличные	s_34be2c25236f.mp3	מְאֹד הִצְטַעַרְתִּי עַל מָה שֶׁקָּרָה.	меóд hицтаáрти аль ма ше-карá.	Я очень сожалел о том, что произошло.	Глаголы	לְהִצְטַעֵר
222	MALE	1-е лицо м.р. (אני רוצה)	s_d9c35f2bbba9.mp3	אֲנִי מִתְקַשֵּׁר לְאִמָּא בָּעֶרֶב.	анӣ миткашéр ле-и́ма коль йом ба-э́рев.	Я звоню маме вечером.	Глаголы	לְהִתְקַשֵּׁר
223	FEMALE	Женская форма (адаптация 1/2 л.)	s_d9c35f2bbba9_f.mp3	אֲנִי מְתַקְשֶׁרֶת לְאִמָּא בָּעֶרֶב.	анӣ миткашéр ле-и́ма коль йом ба-э́рев.	Я звоню маме вечером.	Глаголы	לְהִתְקַשֵּׁר
224	FEMALE	Нейтральные / Безличные	s_34099899ef3d.mp3	אֶתְמוֹל הִתְקַשַּׁרְתִּי לָרוֹפֵא בַּבֹּקֶר.	этмóль hиткашáрти ла-рофé ба-бóкер.	Вчера утром я позвонил врачу.	Глаголы	לְהִתְקַשֵּׁר
225	FEMALE	Нейтральные / Безличные	s_5ce6d716d61e.mp3	אֲנַחְנוּ מִתְרָאִים שׁוּב בָּעֶרֶב בַּקָּפֶה.	анáхну митраӣ́м шув ба-э́рев ба-кáфэ.	Мы снова видимся вечером в кафе.	Глаголы	לְהִתְרָאוֹת
226	FEMALE	Нейтральные / Безличные	s_3a975ff92197.mp3	הִתְרָאֵינוּ בַּקָּפֶה בַּשָּׁבוּעַ שֶׁעָבַר.	hитраэ́йну ба-кáфэ ба-шавӯ́а ше-авáр.	Мы виделись в кафе на прошлой неделе.	Глаголы	לְהִתְרָאוֹת
227	FEMALE	3-е лицо ж.р. (היא / שרה)	s_d62f7db2bcdf.mp3	הִיא מִסְתַּכֶּלֶת עַל הַתְּמוּנָה הַיָּפָה.	hи мистакéлет аль hа-тмунá hа-яфá.	Она смотрит на красивую картину.	Глаголы	לְהִסְתַּכֵּל
228	FEMALE	Нейтральные / Безличные	s_b85b273acae0.mp3	הִסְתַּכַּלְתִּי בַּחַלּוֹן שָׁעָה אֲרוּכָּה הַיּוֹם.	hистакáльти ба-халóн шаá арукá hайóм.	Я долго смотрел сегодня в окно.	Глаголы	לְהִסְתַּכֵּל
229	FEMALE	Нейтральные / Безличные	s_d720e55d7aaa.mp3	הַתַּלְמִיד מִתְקַדֵּם יָפֶה בָּאוּלְפָּן הַשָּׁנָה.	hа-тальмӣ́д миткадéм яфé ба-ульпáн hа-шанá.	Ученик хорошо продвигается в ульпане в этом году.	Глаголы	לְהִתְקַדֵּם
230	FEMALE	Нейтральные / Безличные	s_3aab77ac9efd.mp3	הִתְקַדַּמְתִּי הַרְבֵּה בַּחֹדֶשׁ הָאַחֲרוֹן בָּעֲבוֹדָה.	hиткадáмти hарбé ба-хóдеш hа-ахарóн ба-аводá.	Я сильно продвинулся за последний месяц на работе.	Глаголы	לְהִתְקַדֵּם
231	MALE	1-е лицо м.р. (אני רוצה)	s_62b0d6f8bf88.mp3	אֲנִי מִתְרַגֵּל לַמֶּזֶג הָאֲוִיר בָּאָרֶץ.	анӣ митрагéль ла-мéзег hа-авӣ́р ба-áрец.	Я привыкаю к погоде в Израиле.	Глаголы	לְהִתְרַגֵּל
232	FEMALE	Женская форма (адаптация 1/2 л.)	s_62b0d6f8bf88_f.mp3	אֲנִי מִתְרַגֶּלֶת לַמֶּזֶג הָאֲוִיר בָּאָרֶץ.	анӣ митраге́лет ла-мéзег hа-авӣ́р ба-áрец.	Я привыкаю к погоде в Израиле.	Глаголы	לְהִתְרַגֵּל
233	FEMALE	Нейтральные / Безличные	s_d3537296714c.mp3	הִתְרַגַּלְתִּי מַהֵר לַחַיִּים בְּיִשְׂרָאֵל.	hитрагáльти маhéр ла-хайӣ́м бе-исраэ́ль.	Я быстро привык к жизни в Израиле.	Глаголы	לְהִתְרַגֵּל
234	FEMALE	Нейтральные / Безличные	s_4ec95d89fc20.mp3	הַתַּלְמִיד נִכְנָס לַכִּתָּה בְּשֶׁקֶט.	hа-тальмӣ́д нихнáс ла-китá бе-шéкет.	Ученик тихо входит в класс.	Глаголы	לְהִיכָּנֵס
235	FEMALE	Нейтральные / Безличные	s_c12650002d81.mp3	אֶתְמוֹל נִכְנַסְתִּי לַמִּשְׂרָד מוּקְדָּם בַּבֹּקֶר.	этмóль нихнáсти ла-мисрáд мукдáм ба-бóкер.	Вчера я рано утром зашёл в офис.	Глаголы	לְהִיכָּנֵס
236	MALE	1-е лицо м.р. (אני רוצה)	s_e3d9d081bfa7.mp3	אֲנִי נִשְׁאָר בַּבַּיִת הַיּוֹם בָּעֶרֶב.	анӣ ниш’áр ба-бáйит hайóм ба-э́рев.	Я остаюсь дома сегодня вечером.	Глаголы	לְהִישָּׁאֵר
237	FEMALE	Женская форма (адаптация 1/2 л.)	s_e3d9d081bfa7_f.mp3	אֲנִי נִשְׁאֶרֶת בַּבַּיִת הַיּוֹם בָּעֶרֶב.	анӣ ниш’áр ба-бáйит hайóм ба-э́рев.	Я остаюсь дома сегодня вечером.	Глаголы	לְהִישָּׁאֵר
238	FEMALE	Нейтральные / Безличные	s_56fa991842a2.mp3	אֶתְמוֹל נִשְׁאַרְתִּי בָּעֲבוֹדָה עַד מְאוּחָר.	этмóль ниш’áрти ба-аводá ад меухáр.	Вчера я задержался на работе допоздна.	Глаголы	לְהִישָּׁאֵר
239	FEMALE	Нейтральные / Безличные	s_06f9e3ce374b.mp3	אֲנַחְנוּ נִפְגָּשִׁים בַּקָּפֶה בָּעֶרֶב בְּיַחַד.	анáхну нипгашӣ́м ба-кáфэ ба-э́рев бé-яхад.	Мы встречаемся вечером в кафе вместе.	Глаголы	לְהִיפָּגֵשׁ
240	FEMALE	Нейтральные / Безличные	s_c2f282e1fbd6.mp3	אֶתְמוֹל נִפְגַּשְׁתִּי עִם הַמְּנַהֵל לְשִׂיחָה.	этмóль нипгáшти им hа-менаhéль ле-сихá.	Вчера я встретился с директором для беседы.	Глаголы	לְהִיפָּגֵשׁ
241	FEMALE	Нейтральные / Безличные	s_4112c097e57a.mp3	הַחֲנוּת נִסְגֶּרֶת בְּשָׁעָה שְׁמוֹנֶה בָּעֶרֶב.	hа-ханӯ́т нисгéрет бе-шаá шмóнэ ба-э́рев.	Магазин закрывается в восемь вечера.	Глаголы	לְהִיסָּגֵר
242	FEMALE	Нейтральные / Безличные	s_7d4505c2b021.mp3	הַדֶּלֶת נִסְגְּרָה לְפֶתַע פִּתְאוֹם בָּרוּחַ.	hа-дéлет нисгерá лефéта пит’óм ба-рӯ́ах.	Дверь внезапно захлопнулась от ветра.	Глаголы	לְהִיסָּגֵר
243	FEMALE	Нейтральные / Безличные	s_ccbcae6734aa.mp3	הַסִּפְרִיָּה נִפְתַּחַת בַּבֹּקֶר בְּשָׁעָה שְׁמוֹנֶה.	hа-сифрийá нифтáхат ба-бóкер бе-шаá шмóнэ.	Библиотека открывается утром в восемь часов.	Глаголы	לְהִיפָּתַח
244	FEMALE	Нейтральные / Безличные	s_b6ba54edab5d.mp3	הַקּוּרְס הֶחָדָשׁ נִפְתַּח אֶתְמוֹל בָּאוּלְפָּן.	hа-курс hе-хадáш нифтáх этмóль ба-ульпáн.	Вчера в ульпане открылся новый курс.	Глаголы	לְהִיפָּתַח
245	MALE	3-е лицо м.р. (הוא / דוד)	s_61b76af1a310.mp3	הוּא נִזְהָר מְאֹד בַּכְּבִישׁ הַסּוֹאֵן.	hу низháр меóд ба-квӣ́ш hа-соэ́н.	Он очень осторожен на оживлённой дороге.	Глаголы	לְהִיזָּהֵר
246	FEMALE	Нейтральные / Безличные	s_9c1a69d32055.mp3	נִזְהַרְתִּי מְאֹד בַּדֶּרֶךְ הַחֲלָקָה בַּגֶּשֶׁם.	низháрти меóд ба-дéрех hа-халакá ба-гéшем.	Я был очень осторожен на скользкой дороге в дождь.	Глаголы	לְהִיזָּהֵר
247	FEMALE	Нейтральные / Безличные	s_1a8aa8bf6b3e.mp3	תִּינוֹק חָדָשׁ נוֹלָד הַיּוֹם בַּמִּשְׁפָּחָה.	тинóк хадáш нолáд hайóм ба-мишпахá.	Сегодня в семье родился новый ребёнок.	Глаголы	לְהִיוָּולֵד
248	FEMALE	Нейтральные / Безличные	s_328e6cc674bf.mp3	נוֹלַדְתִּי בְּיִשְׂרָאֵל לִפְנֵי עֶשְׂרִים שָׁנָה.	нолáдти бе-исраэ́ль лифнéй эсрӣ́м шанá.	Я родился в Израиле двадцать лет назад.	Глаголы	לְהִיוָּולֵד
249	MALE	1-е лицо м.р. (אני רוצה)	s_910ff739814a.mp3	אֲנִי נִזְכָּר בַּסִּפּוּר הַיָּפֶה עַכְשָׁיו.	анӣ низкáр ба-сипӯ́р hа-яфé ахшáв.	Я сейчас вспоминаю красивую историю.	Глаголы	לְהִיזָּכֵר
250	FEMALE	Женская форма (адаптация 1/2 л.)	s_910ff739814a_f.mp3	אֲנִי נִזְכֶּרֶת בַּסִּפּוּר הַיָּפֶה עַכְשָׁיו.	анӣ низке́рет ба-сипӯ́р hа-яфé ахшáв.	Я сейчас вспоминаю красивую историю.	Глаголы	לְהִיזָּכֵר
251	FEMALE	Нейтральные / Безличные	s_9b3af73949c5.mp3	פִּתְאוֹם נִזְכַּרְתִּי בַּשֵּׁם שֶׁלּוֹ מִיָּד.	пит’óм низкáрти ба-шем шелó мийáд.	Вдруг я сразу вспомнил его имя.	Глаголы	לְהִיזָּכֵר
252	FEMALE	Нейтральные / Безличные	s_8d83dc8111c1.mp3	קָשֶׁה לְהִפָּרֵד מֵחֲבֵרִים טוֹבִים תָּמִיד.	кашé леhипарéд ме-хаверӣ́м товӣ́м тамӣ́д.	Всегда трудно расставаться с хорошими друзьями.	Глаголы	לְהִיפָּרֵד
253	FEMALE	Нейтральные / Безличные	s_71656bf91db1.mp3	אֶתְמוֹל נִפְרַדְנוּ בִּשְׂדֵה הַתְּעוּפָה בְּחִבּוּק.	этмóль нифрáдну би-сдé hа-теуфá бе-хибӯ́к.	Вчера мы тепло попрощались в аэропорту.	Глаголы	לְהִיפָּרֵד
254	FEMALE	Нейтральные / Безличные	s_36ff7b8e5621.mp3	הַשֶּׁמֶשׁ נֶעֱלֶמֶת מֵאֲחוֹרֵי הֶעָנָן לְאַט.	hа-шéмеш неэлéмет ме-ахорéй hе-анáн ле-áт.	Солнце медленно исчезает за тучей.	Глаголы	לְהֵיעָלֵם
255	FEMALE	Нейтральные / Безличные	s_9b12a7687ba3.mp3	הַמַּפְתֵּחַ שֶׁלִּי נֶעֱלַם בַּבֹּקֶר פִּתְאוֹם.	hа-мафтéах шелӣ́ неэлáм ба-бóкер пит’óм.	Мой ключ утром внезапно пропал.	Глаголы	לְהֵיעָלֵם
256	FEMALE	Нейтральные / Безличные	s_4bdf70e568c2.mp3	הַתִּינוֹק נִרְדָּם בָּעֶרֶשׂ בְּשֶׁקֶט עַכְשָׁיו.	hа-тинóк нирдáм ба-э́рес бе-шéкет ахшáв.	Ребёнок сейчас тихо засыпает в кроватке.	Глаголы	לְהֵירָדֵם
257	FEMALE	Нейтральные / Безличные	s_116843d97b18.mp3	נִרְדַּמְתִּי מַהֵר מוּל הַטֶּלֶוִיזְיָה אֶתְמוֹל.	нирдáмти маhéр муль hа-телеви́зья этмóль.	Вчера я быстро уснул перед телевизором.	Глаголы	לְהֵירָדֵם
258	FEMALE	Нейтральные / Безличные	s_e134ddb9c2dc.mp3	הַסֶּרֶט נִמְשָׁךְ שְׁעָתַיִם תְּמִימוֹת בַּקּוֹלְנוֹעַ.	hа-сéрет нимшáх шеатáим темӣмóт ба-кольнóа.	Фильм длится ровно два часа в кинотеатре.	Глаголы	לְהִימָּשֵׁךְ
259	FEMALE	Нейтральные / Безличные	s_512228f4319c.mp3	הַיְּשִׁיבָה נִמְשְׁכָה הַרְבֵּה זְמַן אֶתְמוֹל.	hа-йешивá нимшехá hарбé зман этмóль.	Вчера совещание длилось долго.	Глаголы	לְהִימָּשֵׁךְ
260	FEMALE	Нейтральные / Безличные	s_645163266178.mp3	אַף אֶחָד לֹא נִכְשָׁל כָּאן.	аф эхáд ло нихшáль кан.	Никто здесь не терпит неудачу.	Глаголы	לְהִיכָּשֵׁל
261	FEMALE	Нейтральные / Безличные	s_6914815ee912.mp3	נִכְשַׁלְתִּי בַּטֶּסְט הָרִאשׁוֹן שֶׁל נְהִיגָה.	нихшáльти ба-тест hа-ришóн шель неhигá.	Я завалил первый практический экзамен по вождению.	Глаголы	לְהִיכָּשֵׁל
262	MALE	1-е лицо м.р. (אני רוצה)	s_15c39e20757b.mp3	אֲנִי מַסְפִּיק לָרַכֶּבֶת בַּבֹּקֶר תָּמִיד.	анӣ маспӣ́к ла-ракéвет ба-бóкер тамӣ́д.	Я всегда утром успеваю на поезд.	Глаголы	לְהַסְפִּיק
263	FEMALE	Женская форма (адаптация 1/2 л.)	s_15c39e20757b_f.mp3	אֲנִי מַסְפִּיקָה לָרַכֶּבֶת בַּבֹּקֶר תָּמִיד.	анӣ маспика́ ла-ракéвет ба-бóкер тамӣ́д.	Я всегда утром успеваю на поезд.	Глаголы	לְהַסְפִּיק
264	FEMALE	Нейтральные / Безличные	s_3da9ca3a955d.mp3	הִסְפַּקְתִּי לְסַיֵּם אֶת הַדּוּ״חַ הַיּוֹם.	hиспáкти лесаéм эт hа-дӯ́ах hайóм.	Я успел закончить отчёт сегодня.	Глаголы	לְהַסְפִּיק
265	FEMALE	Нейтральные / Безличные	s_eadd85c3ff90.mp3	הַמַּצָּב הַכַּלְכָּלִי מַשְׁפִּיעַ עַל הַכֹּל.	hа-мацáв hа-калькалӣ́ машпӣ́а аль hа-коль.	Экономическая ситуация влияет на всё.	Глаголы	לְהַשְׁפִּיעַ
266	FEMALE	3-е лицо ж.р. (היא / שרה)	s_87117f2801ac.mp3	הַמּוֹרֶה הִשְׁפִּיעַ עָלַי מְאֹד לְטוֹבָה.	hа-морé hишпӣ́а алáй меóд ле-товá.	Учитель очень повлиял на меня в лучшую сторону.	Глаголы	לְהַשְׁפִּיעַ
267	MALE	3-е лицо м.р. (הוא / דוד)	s_417081c4b247.mp3	הוּא מַשְׁקִיעַ בַּעֲסָקִים חֲדָשִׁים בָּאָרֶץ.	hу машкӣ́а бе-асакӣ́м хадашӣ́м ба-áрец.	Он инвестирует в новые бизнесы в стране.	Глаголы	לְהַשְׁקִיעַ
268	FEMALE	Нейтральные / Безличные	s_9d9abe414ed1.mp3	הִשְׁקַעְתִּי הַרְבֵּה מַאֲמָץ בַּלִּמּוּדִים הָאֵלֶּה.	hишкáъти hарбé маамáц ба-лимудӣ́м hа-э́ле.	Я вложил много усилий в эту учёбу.	Глаголы	לְהַשְׁקִיעַ
269	MALE	1-е лицо м.р. (אני רוצה)	s_cee4a05fe8fb.mp3	אֲנִי מַצִּיעַ פִּתָּרוֹן חָכָם לַבְּעָיָה.	анӣ мацӣ́а питарóн хахáм ла-беайá.	Я предлагаю умное решение проблемы.	Глаголы	לְהַצִּיעַ
270	FEMALE	Женская форма (адаптация 1/2 л.)	s_cee4a05fe8fb_f.mp3	אֲנִי מַצִּיעָה פִּתָּרוֹן חָכָם לַבְּעָיָה.	анӣ мациа́ питарóн хахáм ла-беайá.	Я предлагаю умное решение проблемы.	Глаголы	לְהַצִּיעַ
271	FEMALE	Нейтральные / Безличные	s_50b4f942a6fd.mp3	הַמְּנַהֵל הִצִּיעַ לִי מִשְׂרָה מְעוּלָּה.	hа-менаhéль hицӣ́а ли мисрá меулá.	Руководитель предложил мне отличную должность.	Глаголы	לְהַצִּיעַ
272	FEMALE	Нейтральные / Безличные	s_6353a559767c.mp3	הַזַּמָּר מוֹפִיעַ בַּתֵּאַטְרוֹן הַיּוֹם בָּעֶרֶב.	hа-замáр мофӣ́а ба-театрóн hайóм ба-э́рев.	Певец выступает в театре сегодня вечером.	Глаголы	לְהוֹפִיעַ
273	FEMALE	3-е лицо ж.р. (היא / שרה)	s_510f5991a884.mp3	הִיא הוֹפִיעָה בַּטֶּלֶוִיזְיָה בַּחֲדָשׁוֹת אֶתְמוֹל.	hи hофӣ́а ба-телеви́зья ба-хадашóт этмóль.	Вчера она появилась на телевидении в новостях.	Глаголы	לְהוֹפִיעַ
274	MALE	1-е лицо м.р. (אני רוצה)	s_98662a60ad5a.mp3	אֲנִי מַבְטִיחַ לַעֲזוֹר לְךָ תָּמִיד.	анӣ мавтӣ́ах лаазóр лехá тамӣ́д.	Я обещаю всегда помогать тебе.	Глаголы	לְהַבְטִיחַ
275	FEMALE	Женская форма (адаптация 1/2 л.)	s_98662a60ad5a_f.mp3	אֲנִי מַבְטִיחָה לַעֲזוֹר לְךָ תָּמִיד.	анӣ мавтиха́ лаазóр лехá тамӣ́д.	Я обещаю всегда помогать тебе.	Глаголы	לְהַבְטִיחַ
276	FEMALE	Нейтральные / Безличные	s_206a624d2e2a.mp3	הִבְטַחְתִּי לָבוֹא בַּזְּמַן לַפְּגִישָׁה.	hивтáхти лавó ба-змáн ла-пгишá.	Я обещал вовремя прийти на встречу.	Глаголы	לְהַבְטִיחַ
277	FEMALE	Нейтральные / Безличные	s_626dadcee4a5.mp3	עוֹרֵךְ-הַדִּין מוֹכִיחַ אֶת הָאֱמֶת בַּמִּשְׁפָּט.	орéх-hа-дин мохӣ́ах эт hа-эмéт ба-мишпáт.	Адвокат доказывает правду на суде.	Глаголы	לְהוֹכִיחַ
278	FEMALE	Нейтральные / Безличные	s_12f5708c2c9c.mp3	הוֹכַחְתִּי אֶת הַטְּעָנָה שֶׁלִּי בְּבֵרוּר.	hохáхти эт hа-теанá шелӣ́ бе-вейрӯ́р.	Я ясно доказал своё утверждение.	Глаголы	לְהוֹכִיחַ
279	FEMALE	Нейтральные / Безличные	s_cfaa240b8cad.mp3	אֲנַחְנוּ מִתְמוֹדְדִים עִם הַקְּשָׁיִים בְּיַחַד.	анáхну митмодедӣ́м им hа-кшайӣ́м бé-яхад.	Мы вместе справляемся с трудностями.	Глаголы	לְהִתְמוֹדֵד
280	FEMALE	Нейтральные / Безличные	s_1fe9653d5d25.mp3	הִתְמוֹדַדְתִּי הֵיטֵב עִם כָּל הַלַּחַץ.	hитмодáдти hейтéв им коль hа-лáхац.	Я отлично справился со всем стрессом.	Глаголы	לְהִתְמוֹדֵד
281	MALE	3-е лицо м.р. (הוא / דוד)	s_d375e8d83026.mp3	הוּא מִתְנַדֵּב בְּמָדָ״א כָּל שָׁבוּעַ.	hу митнадéв бе-мадá коль шавӯ́а.	Он волонтёрит в скорой помощи каждую неделю.	Глаголы	לְהִתְנַדֵּב
282	FEMALE	Нейтральные / Безличные	s_0724049d7ace.mp3	הִתְנַדַּבְתִּי בַּקְּהִלָּה שָׁנָה שְׁלֵמָה בְּאַהֲבָה.	hитнадáвти ба-кеhилá шанá шлемá бе-аhавá.	Я целый год с любовью волонтёрил в общине.	Глаголы	לְהִתְנַדֵּב
283	MALE	3-е лицо м.р. (הוא / דוד)	s_d91c6335fd20.mp3	הַיֶּלֶד מִתְנַהֵג יָפֶה מְאֹד בַּכִּתָּה.	hа-йéлед митнаhéг яфé меóд ба-китá.	Ребёнок очень хорошо ведёт себя в классе.	Глаголы	לְהִתְנַהֵג
284	FEMALE	Нейтральные / Безличные	s_d2fc83062115.mp3	הִתְנַהַגְתָּ כְּמוֹ בֶּן-אָדָם אֲמִתִּי בַּמַּצָּב.	hитнаháгта кмо бен-адáм амитӣ́ ба-мацáв.	Ты повёл себя по-человечески в этой ситуации.	Глаголы	לְהִתְנַהֵג
285	FEMALE	Нейтральные / Безличные	s_a4efcef663ae.mp3	הָעִיר מִתְפַּתַּחַת בִּמְהִירוּת גְּדוֹלָה מְאֹד.	hа-ӣ́р митпатáхат би-меhирӯ́т гдолá меóд.	Город развивается с очень большой скоростью.	Глаголы	לְהִתְפַּתֵּחַ
286	FEMALE	Нейтральные / Безличные	s_68dadf373f83.mp3	הַחֶבְרָה הִתְפַּתְּחָה מְאֹד בַּשָּׁנִים הָאַחֲרוֹנוֹת.	hа-хеврá hитпатхá меóд ба-шанӣ́м hа-ахаронóт.	Компания сильно развилась за последние годы.	Глаголы	לְהִתְפַּתֵּחַ
287	FEMALE	Нейтральные / Безличные	s_f3c8cdc7eaab.mp3	אֲנָשִׁים מִתְלוֹנְנִים עַל הַמֶּזֶג-הָאֲוִיר בַּקַּיִץ.	анашӣ́м митлоннӣ́м аль hа-мéзег-hа-авӣ́р ба-кáиц.	Люди жалуются на погоду летом.	Глаголы	לְהִתְלוֹנֵן
288	FEMALE	Нейтральные / Безличные	s_3a7f84b9fe4d.mp3	הַלָּקוֹחַ הִתְלוֹנֵן עַל הַשֵּׁרוּת הָרַע.	hа-лакóах hитлонéн аль hа-шерӯ́т hа-ра.	Клиент пожаловался на плохое обслуживание.	Глаголы	לְהִתְלוֹנֵן
289	MALE	3-е лицо м.р. (הוא / דוד)	s_0e3abe883b9a.mp3	הוּא מְטַפֵּל בַּסָּבָא הַיּוֹם.	hу метапéль ба-сáба hайóм.	Он ухаживает за дедушкой сегодня.	Глаголы	לְטַפֵּל
290	FEMALE	Нейтральные / Безличные	s_2f9ad3d700da.mp3	טִפַּלְתִּי בַּחוֹלֶה כָּל הַיּוֹם.	типáльти ба-холé коль hа-йом.	Я ухаживал за больным весь день.	Глаголы	לְטַפֵּל
291	FEMALE	3-е лицо ж.р. (היא / שרה)	s_462b75ca8ecb.mp3	הִיא רוֹחֶצֶת אֶת הַיָּדַיִם בְּמַיִם.	hи рохéцет эт hа-ядáйим бэ-мáйим.	Она моет руки водой.	Глаголы	לִרְחֹץ
292	FEMALE	Нейтральные / Безличные	s_f37d2d4597a0.mp3	רָחַצְתִּי אֶת הַפָּנִים בַּבֹּקֶר.	рахáцти эт hа-панӣ́м ба-бóкер.	Я умыл лицо утром.	Глаголы	לִרְחֹץ
293	MALE	3-е лицо м.р. (הוא / דוד)	s_115a524a166b.mp3	הוּא שׁוֹטֵף אֶת הָרִצְפָּה כָּעֵת.	hу шотéф эт hа-рицпá ка-э́т.	Он моет пол сейчас.	Глаголы	לִשְׁטֹף
294	FEMALE	Нейтральные / Безличные	s_6d114ec04098.mp3	שָׁטַפְתִּי כֵּלִים אַחֲרֵי הָאֲרוּחָה.	шатáфти келӣ́м ахарéй hа-арухá.	Я вымыл посуду после еды.	Глаголы	לִשְׁטֹף
295	MALE	3-е лицо м.р. (הוא / דוד)	s_d21d6a89297b.mp3	הוּא מַלְבִּישׁ אֶת הַמְּטוּפָּל בִּזְהִירוּת.	hу мальбӣ́ш эт hа-метупáль бизhирӯ́т.	Он осторожно одевает подопечного.	Глаголы	לְהַלְבִּישׁ
296	FEMALE	Нейтральные / Безличные	s_d7ec0b60a3d3.mp3	הִלְבַּשְׁתִּי אֶת הַסָּבָא בְּחוּלְצָה.	hильбáшти эт hа-сáба бэ-хульцá.	Я одел дедушку в рубашку.	Глаголы	לְהַלְבִּישׁ
297	FEMALE	3-е лицо ж.р. (היא / שרה)	s_6ead7d52a7b0.mp3	הִיא מַפְשִׁיטָה אֶת הַמְּעִיל הַכָּבֵד.	hи мафшитá эт hа-меӣ́ль hа-кавéд.	Она снимает тяжёлое пальто.	Глаголы	לְהַפְשִׁיט
298	FEMALE	Нейтральные / Безличные	s_85139b26819a.mp3	הִפְשַׁטְתִּי אֶת הַסְּוֶודֶר הַחַם.	hифшáтти эт hа-свéдер hа-хам.	Я снял тёплый свитер.	Глаголы	לְהַפְשִׁיט
299	MALE	3-е лицо м.р. (הוא / דוד)	s_0b01f08e2289.mp3	הוּא מַאֲכִיל אֶת הַסָּבָא בְּמָרָק.	hу маахӣ́ль эт hа-сáба бэ-марáк.	Он кормит дедушку супом.	Глаголы	לְהַאֲכִיל
300	FEMALE	Нейтральные / Безличные	s_5632e9c76499.mp3	הֶאֱכַלְתִּי אֶת הַחוֹלֶה בַּצָּהֳרַיִם.	hээхáльти эт hа-холé ба-цоhорáим.	Я покормил больного в обед.	Глаголы	לְהַאֲכִיל
