Номер,Иврит с огласовками,Русский перевод,Категория,Имя аудиофайла,Рекомендуемый голос
422,"הִטְעַנְתִּי אֶת הַבָּטֶרְיָה כָּל הַלַּיְלָה.","Я заряжал батарею всю ночь.","Глаголы","s_8c36575c3eba.mp3","Женский"
423,"הוּא מְחַבֵּר אֶת הַכְּבָלִים.","Он подключает провода.","Глаголы","s_8266cbfaf881.mp3","Женский"
424,"חִבַּרְתִּי אֶת הַסּוֹרֵק לָרֶכֶב.","Я подключил сканер к машине.","Глаголы","s_2635d1fbc67d.mp3","Женский"
425,"הוּא מְנַתֵּק אֶת הַזֶּרֶם.","Он отключает ток.","Глаголы","s_248d8c07d750.mp3","Женский"
426,"נִתַּקְתִּי אֶת הַמַּצְבֵּר לִפְנֵי הַתִּקּוּן.","Я отключил аккумулятор перед ремонтом.","Глаголы","s_69690a234493.mp3","Женский"
427,"הוּא מַהְדֵּק אֶת הַבְּרָגִים.","Он затягивает винты.","Глаголы","s_f1f84c39a032.mp3","Женский"
428,"הִדַּקְתִּי הֵיטֵב בְּמַפְתֵּחַ בְּרָגִים.","Я крепко затянул гаечным ключом.","Глаголы","s_30534da555ab.mp3","Мужской"
429,"הַמָּנוֹעַ מִתְחַמֵּם בַּפְּקָקִים הַיּוֹם.","Двигатель перегревается в пробках сегодня.","Глаголы","s_ca6013b1e887.mp3","Мужской"
430,"הָרֶכֶב הִתְחַמֵּם בָּעֲלִיָּה לִירוּשָׁלַיִם.","Машина нагрелась на подъёме в Иерусалим.","Глаголы","s_c3c759403fbe.mp3","Мужской"
431,"שֶׁמֶן דּוֹלֵף מֵהַמָּנוֹעַ כָּעֵת.","Масло подтекает из двигателя сейчас.","Глаголы","s_e1f2df7a8192.mp3","Мужской"
432,"דֶּלֶק דָּלַף מֵהַצִּנּוֹר אֶתְמוֹל.","Бензин капал из трубки вчера.","Глаголы","s_b5fef3e20f70.mp3","Мужской"
433,"הוּא פּוֹנֶה יָמִינָה בָּרַמְזוֹר.","Он поворачивает направо на светофоре.","Глаголы","s_d09c46330bcb.mp3","Мужской"
434,"פָּנִיתִי שְׂמֹאלָה בַּכִּכָּר הַיּוֹם.","Я повернул налево на кругу сегодня.","Глаголы","s_c30713f12395.mp3","Мужской"
435,"הוּא אוֹטֵם אֶת הַחִבּוּר בְּסִילִיקוֹן.","Он герметизирует стык силиконом.","Глаголы","s_131ffe8c27b7.mp3","Женский"
436,"אָטַמְתִּי אֶת הַחַלּוֹן שֶׁל הָרֶכֶב.","Я загерметизировал окно машины.","Глаголы","s_356f7660f68a.mp3","Женский"
437,"הַסַּפְרָן מְקַטְלֵג סְפָרִים חֲדָשִׁים.","Библиотекарь каталогизирует новые книги.","Глаголы","s_1054a95b2eb1.mp3","Мужской"
438,"קִטְלַגְתִּי אֶת הַחוֹבֶרֶת בַּמַּעֲרֶכֶת.","Я внёс брошюру в систему каталога.","Глаголы","s_0af755e08497.mp3","Женский"
439,"הוּא מְפַתֵּחַ מַפְתֵּחַ עִנְיָנִים.","Он составляет предметный указатель.","Глаголы","s_46093e3b888e.mp3","Мужской"
440,"פִּתַּחְתִּי אֶת מַאֲגַר הַמֵּידָע.","Я развил базу данных.","Глаголы","s_bc28af7065eb.mp3","Женский"
441,"הִיא מְמַיֶּנֶת סְפָרִים לְפִי נוֹשְׂאִים.","Она сортирует книги по темам.","Глаголы","s_14cbc0514de1.mp3","Женский"
442,"מִיַּנְתִּי אֶת הַכְּרָכִים עַל הַמַּדָּף.","Я рассортировал тома на полке.","Глаголы","s_ec1bcde3167c.mp3","Женский"
443,"הִיא מַשְׁאִילָה סֵפֶר לַקּוֹרֵא.","Она выдаёт книгу читателю.","Глаголы","s_b6e874434e73.mp3","Женский"
444,"הִשְׁאַלְתִּי מִלּוֹן עָבֶה לְחֹדֶשׁ.","Я выдал толстый словарь на месяц.","Глаголы","s_56f9aca0429a.mp3","Мужской"
445,"הוּא מַאֲרִיךְ אֶת הַהַשְׁאָלָה.","Он продлевает выдачу.","Глаголы","s_43526f0504d2.mp3","Женский"
446,"הֶאֱרַכְתִּי אֶת הַזְּמַן בְּשָׁבוּעַ.","Я продлил срок на неделю.","Глаголы","s_082babe10431.mp3","Женский"
447,"הַסְְטוּדֶנְט מְעַיֵּן בְּכְּתַב-עֵת.","Студент просматривает журнал.","Глаголы","s_dafaadba37e0.mp3","Мужской"
448,"עִיַּנְתִּי בַּמַּסְמָכִים הָעַתִּיקִים.","Я ознакомился с древними документами.","Глаголы","s_90d0d3b04ccb.mp3","Мужской"
449,"הוּא מְאַתֵּר אֶת הַסֵּפֶר בַּמַּדָּף.","Он находит книгу на полке.","Глаголы","s_9415bdd375bb.mp3","Женский"
450,"אִתַּרְתִּי אֶת הַכֶּרֶךְ לְפִי הַסִּימוּן.","Я отыскал том по шифру.","Глаголы","s_63d013b446d5.mp3","Женский"
451,"מְשַׁמְּרִים סְפָרִים בִּתְנָאִים מְיוּחָדִים.","Книги сохраняют в особых условиях.","Глаголы","s_e9553cbb16fa.mp3","Мужской"
452,"שִׁמַּרְנוּ אֶת כִּתְבֵי הַיָּד הַנְּדִירִים.","Мы законсервировали редкие рукописи.","Глаголы","s_fd9ee2cb7247.mp3","Женский"
453,"הוּא מְשַׁקֵּם דַּף קָרוּעַ בִּזְהִירוּת.","Он осторожно реставрирует порванную страницу.","Глаголы","s_2e794cda478d.mp3","Мужской"
454,"שִׁקַּמְתִּי אֶת הַכְּרִיכָה הַבְּלוּיָה.","Я отреставрировал ветхий переплёт.","Глаголы","s_bf622763b620.mp3","Женский"
455,"הוּא סוֹרֵק תְּמוּנוֹת הִיסְטוֹרִיּוֹת.","Он сканирует исторические фотографии.","Глаголы","s_2e908c91bdf4.mp3","Мужской"
456,"סָרַקְתִּי אֶת כָּל הַחוֹזֶה.","Я отсканировал весь договор.","Глаголы","s_13588be93fed.mp3","Женский"
457,"מְדַגְטְלִים אֶת כָּל הָאַרְכִיּוֹן.","Оцифровывают весь архив.","Глаголы","s_844426af460d.mp3","Женский"
458,"דִּגְטַלְנוּ אֶת הָעִתּוֹנִים הַיְּשָׁנִים.","Мы оцифровали старые газеты.","Глаголы","s_7956f304e589.mp3","Женский"
459,"הוּא גּוֹנֵז מִסְמָכִים בְּאַכְסַנְיָה.","Он архивирует документы в хранилище.","Глаголы","s_8fd4c41d8d10.mp3","Мужской"
460,"גָּנַזְנוּ אֶת הַתִּיק הַהִיסְטוֹרִי.","Мы сдали в спецхран историческое дело.","Глаголы","s_6971af88036a.mp3","Женский"
461,"הוּא כּוֹרֵךְ סֵפֶר בִּכְרִיכָה קָשָׁה.","Он переплетает книгу в твёрдый переплёт.","Глаголы","s_f85ac7f996ef.mp3","Мужской"
462,"כָּרַכְתִּי אֶת חוֹבְרוֹת הַלִּמּוּד.","Я переплёл учебные тетради.","Глаголы","s_daa7e5fcca85.mp3","Женский"
463,"הוּא מְתַעֵד כָּל תְּנוּעָה בָּאוֹסֶף.","Он документирует каждое перемещение в фонде.","Глаголы","s_35b9a809898b.mp3","Мужской"
464,"תִּעַדְתִּי אֶת הַתַּהֲלִיךְ כּוּלּוֹ בַּדּוּ״חַ.","Я задокументировал весь процесс в отчёте.","Глаголы","s_2f8b25d0dae9.mp3","Женский"
465,"הוּא שׁוֹלֵף תִּיק מֵהַמַּחְשֵׁב.","Он извлекает дело из компьютера.","Глаголы","s_5f471f6302dc.mp3","Мужской"
466,"שָׁלַפְתִּי אֶת הַכַּרְטִיס מֵהַמְּגֵרָה.","Я достал карточку из ящика.","Глаголы","s_ba39fb30ff24.mp3","Женский"
467,"הוּא מְסַוֵּג אֶת הַחוֹמֶר.","Он классифицирует материал.","Глаголы","s_bc5d8f95a363.mp3","Женский"
468,"סִוַּגְנוּ אֶת הַמִּסְמָכִים הַסּוֹדִיִּים.","Мы классифицировали секретные документы.","Глаголы","s_b8e8500d0d50.mp3","Женский"
469,"הוּא מַנְפִּיק כַּרְטִיס קוֹרֵא לַתַּלְמִיד.","Он оформляет читательский билет ученику.","Глаголы","s_7da8b8f873e9.mp3","Мужской"
470,"הִנְפַּקְתִּי אֶת הַתְּעוּדָה בָּרֶגַע.","Я оформил удостоверение вмиг.","Глаголы","s_ea2e16882a3b.mp3","Женский"
471,"הַסַּפְרָן גּוֹרֵעַ סְפָרִים מֵהַמְּלַאי.","Библиотекарь списывает книги из инвентаря.","Глаголы","s_fd5007d5f596.mp3","Мужской"
472,"גָּרַעְתִּי אֶת הַכְּרָכִים הַבְּלוּיִים.","Я списал обветшалые тома.","Глаголы","s_7af6966c9775.mp3","Женский"
473,"מְבַעֲרִים דַּפִּים מְיוּתָּרִים בִּמְגְרָסָה.","Утилизируют лишние листы в шредере.","Глаголы","s_2fe7e64cb329.mp3","Мужской"
474,"בִּעַרְנוּ אֶת הָאַרְכִיּוֹן הַיָּשָׁן.","Мы утилизировали старый архив.","Глаголы","s_b04b150d69f9.mp3","Женский"
475,"הוּא מַדְפִּיס דַּף בַּמַּדְפֶּסֶת.","Он распечатывает лист на принтере.","Глаголы","s_b4a9b2e97f26.mp3","Мужской"
476,"הִדְפַּסְתִּי אֶת הַטּוֹפֶס לַבַּקָּשָׁה.","Я распечатал бланк для заявления.","Глаголы","s_e9578b2616b3.mp3","Женский"
477,"הוּא מַקְצִיף אֶת כָּל הָרֶכֶב.","Он покрывает пеной всю машину.","Глаголы","s_4960a3138199.mp3","Женский"
478,"הִקְצַפְתִּי הֵיטֵב בְּקֶצֶף פָּעִיל.","Я хорошо нанёс активную пену.","Глаголы","s_6114995e136a.mp3","Мужской"
479,"הוּא מְנַגֵּב חַלּוֹנוֹת בְּמַטְלִית.","Он вытирает стёкла салфеткой.","Глаголы","s_b57d3738b79a.mp3","Мужской"
480,"נִגַּבְתִּי אֶת הַגַּג עַד יֹבֶשׁ.","Я насухо вытер крышу.","Глаголы","s_870ca38054de.mp3","Женский"
481,"הוּא שׁוֹאֵב אֶת הַשָּׁטִיחַ בָּרֶכֶב.","Он пылесосит коврик в машине.","Глаголы","s_5a4aecbd730b.mp3","Женский"
482,"שָׁאַבְתִּי אֶת תָּא הַמִּטְעָן הַיּוֹם.","Я пропылесосил багажник сегодня.","Глаголы","s_c95a23399b96.mp3","Женский"
483,"הוּא מַבְרִיק אֶת הָרֶכֶב.","Он начищает до блеска машину.","Глаголы","s_669f15601640.mp3","Женский"
484,"הִבְרַקְתִּי אֶת הַשִּׁמְשָׁה לְגַמְרֵי.","Я до блеска отполировал лобовое стекло.","Глаголы","s_6e8942676439.mp3","Женский"
485,"הוּא מוֹרֵחַ וַקְס עַל הַמִּכְסֶה.","Он наносит воск на капот.","Глаголы","s_1c254411d34a.mp3","Мужской"
486,"מָרַחְתִּי שִׁכְבָה שֶׁל חוֹמֶר מָגֵן.","Я нанёс слой защитного средства.","Глаголы","s_cac8ab2f1e5d.mp3","Мужской"
487,"הוּא מְיַבֵּשׁ אֶת הָרֶכֶב בַּאֲוִויר.","Он сушит машину воздухом.","Глаголы","s_9cf00fdff86f.mp3","Женский"
488,"יִבַּשְׁתִּי אֶת הַדְּלָתוֹת מִטִּפּוֹת מַיִם.","Я высушил двери от капель воды.","Глаголы","s_da9142bea5cb.mp3","Женский"
489,"הוּא מְרַסֵּס חוֹמֶר עַל הַגַּלְגַּלִּים.","Он распыляет средство на колёса.","Глаголы","s_58f47cb66c3f.mp3","Мужской"
490,"רִסַּסְתִּי תַּרְסִיס נֶגֶד כְּתָמִים.","Я побрызгал спреем от пятен.","Глаголы","s_cb5cb64a33d3.mp3","Мужской"
491,"הוּא מְקַרְצֵף אֶת הַלִּכְלוּךְ בְּמִבְרֶשֶׁת.","Он оттирает грязь щёткой.","Глаголы","s_e4d571df2a3b.mp3","Женский"
492,"קִרְצַפְתִּי אֶת הַחִשּׁוּקִים הֵיטֵב.","Я тщательно отдраил диски.","Глаголы","s_dd78669b0e52.mp3","Женский"
493,"הוּא מַתִּיז מַיִם בְּלַחַץ גָּבוֹהַּ.","Он подаёт струю воды под высоким давлением.","Глаголы","s_4790bf491cd3.mp3","Мужской"
494,"הִתַּזְתִּי זֶרֶם מַיִם עַל הַבּוֹץ.","Я направил струю воды на грязь.","Глаголы","s_50a86aa95701.mp3","Мужской"
495,"הוּא מֵסִיר כְּתָמִים קָשִׁים מֵהָרִפּוּד.","Он выводит трудновыводимые пятна с обивки.","Глаголы","s_d6ed26b6d80c.mp3","Мужской"
496,"הֵסַרְתִּי אֶת הַדֶּבֶק מֵהַחַלּוֹן.","Я удалил клей со стекла.","Глаголы","s_0d05e0a56c82.mp3","Женский"
497,"הוּא מַשְׁחִיר אֶת הַצְּמִיגִים בְּחוֹמֶר.","Он чернит покрышки средством.","Глаголы","s_3cffda42ff4b.mp3","Женский"
498,"הִשְׁחַרְתִּי אֶת אַרְבַּעַת הַצְּמִיגִים.","Я почернил все четыре колеса.","Глаголы","s_2b0730118c00.mp3","Женский"
499,"הוּא מְבַשֵּׂם אֶת פְּנִים הָרֶכֶב.","Он ароматизирует салон автомобиля.","Глаголы","s_c4418d92320e.mp3","Женский"
500,"בִּשַּׂמְתִּי בְּרֵיחַ וָנִיל נָעִים.","Я освежил салон приятным запахом ванили.","Глаголы","s_7ea0263f0ef6.mp3","Мужской"
501,"הוּא מְרוֹקֵן אֶת פַּח הָאַשְׁפָּה.","Он опустошает мусорное ведро.","Глаголы","s_19bf715c5a45.mp3","Женский"
502,"רוֹקַנְתִּי אֶת הַמַּאֲפֵרָה מֵאֵפֶר.","Я вытряхнул пепельницу от пепла.","Глаголы","s_92aabd71ae64.mp3","Женский"
503,"הוּא מְנַעֵר אֶת שַׁטִיחֵי הָרֶכֶב.","Он встряхивает коврики машины.","Глаголы","s_a509fa07b5a9.mp3","Женский"
504,"נִעַרְתִּי אֶת הַשָּׁטִיחַ מֵאָבָק.","Я выбил коврик от пыли.","Глаголы","s_2b9b87b60718.mp3","Женский"
505,"הוּא מַכְנִיס אֶת הָרֶכֶב לַמִּנְהָרָה.","Он заводит машину в туннель мойки.","Глаголы","s_6a67a9909689.mp3","Женский"
506,"הִכְנַסְתִּי אֶת הָאוֹטוֹ לַשְּׁטִיפָה.","Я загнал авто на мойку.","Глаголы","s_ad399bd129a0.mp3","Женский"
507,"הַנַּהָג מְקַפֵּל אֶת הַמַּרְאוֹת.","Водитель складывает зеркала.","Глаголы","s_6de678f98357.mp3","Женский"
508,"קִפַּלְתִּי מַרְאָה לִפְנֵי הַשְּׁטִיפָה.","Я сложил зеркало перед мойкой.","Глаголы","s_0d7cbd8ab126.mp3","Мужской"
509,"הוּא מוֹסֵר רֶכֶב נָקִי לַלָּקוֹחַ.","Он сдаёт чистый автомобиль клиенту.","Глаголы","s_6e37efe02931.mp3","Мужской"
510,"מָסַרְתִּי אֶת הַמַּפְתְּחוֹת בְּחִיּוּךְ.","Я отдал ключи с улыбкой.","Глаголы","s_bfd3b95c1da2.mp3","Женский"
511,"אֲנִי רוֹצֶה לִשְׁתּוֹת קָפֶה.","Я хочу пить кофе.","Глаголы","s_bfac96acdbdf.mp3","Мужской"
512,"הוּא שׁוֹתֶה מַיִם קָרִים.","Он пьёт холодную воду.","Глаголы","s_125e36be0b21.mp3","Мужской"
513,"אֲנִי גָּר בְּתֵל אָבִיב.","Я живу в Тель-Авиве.","Глаголы","s_8488faac758b.mp3","Мужской"
514,"הַסֵּפֶר עוֹלֶה עֲשָׂרָה שְׁקָלִים.","Книга стоит десять шекелей.","Глаголы","s_319f52857b2c.mp3","Мужской"
515,"הוּא לוֹמֵד בָּאוּלְפָּן הַיּוֹם.","Он учится в ульпане сегодня.","Глаголы","s_2a9576bf778b.mp3","Мужской"
516,"אֲנִי כּוֹתֵב מִכְתָּב עַכְשָׁיו.","Я пишу письмо сейчас.","Глаголы","s_f75458bf4cff.mp3","Мужской"
517,"הִיא קוֹרֵאת עִתּוֹן בַּבֹּקֶר.","Она читает газету утром.","Глаголы","s_ca673f398719.mp3","Женский"
518,"אֲנִי הוֹלֵךְ לַעֲבוֹדָה הַיּוֹם.","Я иду на работу сегодня.","Глаголы","s_f76e781914c5.mp3","Мужской"
519,"הוּא עוֹבֵד בְּמִשְׂרָד גָּדוֹל.","Он работает в большом офисе.","Глаголы","s_c3edae33d7a8.mp3","Мужской"
520,"אֲנִי שׁוֹמֵעַ מוּזִיקָה טוֹבָה.","Я слушаю хорошую музыку.","Глаголы","s_1c04ca7037ef.mp3","Мужской"
521,"הוּא פּוֹתֵחַ אֶת הַדֶּלֶת.","Он открывает дверь.","Глаголы","s_2bc00328324f.mp3","Женский"
522,"הִיא סוֹגֶרֶת אֶת הַחַלּוֹן.","Она закрывает окно.","Глаголы","s_93230b480964.mp3","Женский"
523,"אֲנִי קָם מוּקְדָּם בַּבֹּקֶר.","Я встаю рано утром.","Глаголы","s_cc0cfd4ce033.mp3","Мужской"
524,"כּוֹאֵב לִי הָרֹאשׁ הַיּוֹם.","У меня сегодня болит голова.","Глаголы","s_f4f2c0ae0b65.mp3","Мужской"
525,"אַבָּא נָח עַל הַסַּפָּה.","Папа отдыхает на диване.","Глаголы","s_42af9c237e83.mp3","Мужской"
526,"אֲנִי אוֹהֵב קָפֶה חַם.","Я люблю горячий кофе.","Глаголы","s_0428b89873f4.mp3","Мужской"
527,"הוּא מְנַגֵּן בִּפְסַנְתֵּר מְצוּיָן.","Он отлично играет на пианино.","Глаголы","s_5b67cdc9441a.mp3","Мужской"
528,"אֲנִי מְשַׁלֵּם בְּכַרְטִיס אַשְׁרַאי.","Я плачу кредитной картой.","Глаголы","s_d2fca264cef5.mp3","Мужской"
529,"הוּא שׁוֹלֵחַ הוֹדָעָה עַכְשָׁיו.","Он отправляет сообщение сейчас.","Глаголы","s_690331480c5f.mp3","Мужской"
530,"הוּא מְקַבֵּל מַתָּנָה יָפָה.","Он получает красивый подарок.","Глаголы","s_ec10e9951b0b.mp3","Мужской"
531,"אֲנִי חוֹתֵם עַל הַחוֹזֶה.","Я подписываю договор.","Глаголы","s_28c0b79e96eb.mp3","Мужской"
532,"הוּא מְבַקֵּשׁ כּוֹס מַיִם.","Он просит стакан воды.","Глаголы","s_2e9abb0368cf.mp3","Мужской"
533,"אֲנִי מְטַיֵּל עִם הַכֶּלֶב.","Я гуляю с собакой.","Глаголы","s_386b87eda306.mp3","Мужской"
534,"הוּא מְחַפֵּשׂ אֶת הַמַּפְתֵּחַ.","Он ищет ключ.","Глаголы","s_3965ec51d355.mp3","Женский"
535,"הַמּוֹרֶה מְלַמֵּד עִבְרִית בָּאוּלְפָּן.","Учитель преподает иврит в ульпане.","Глаголы","s_f80ab423e8c9.mp3","Женский"
536,"הַסֶּרֶט מַתְחִיל עַכְשָׁיו בַּקּוֹלְנוֹעַ.","Фильм начинается сейчас в кинотеатре.","Глаголы","s_1742ea299089.mp3","Мужской"
537,"הוּא מַזְמִין מָקוֹם בַּמִּסְעָדָה.","Он заказывает место в ресторане.","Глаголы","s_f64c9c8c110f.mp3","Мужской"
538,"אֲנִי מַרְגִּישׁ מְצוּיָן הַיּוֹם.","Я чувствую себя отлично сегодня.","Глаголы","s_45429c606b28.mp3","Мужской"
539,"אֲנִי מַכִּיר אֶת הָאִישׁ.","Я знаю этого человека.","Глаголы","s_cb2c56eea678.mp3","Мужской"
540,"הָאוֹטוֹבּוּס מַגִּיעַ עַכְשָׁיו לַתַּחֲנָה.","Автобус прибывает сейчас на остановку.","Глаголы","s_c6ae19c8bbc6.mp3","Мужской"
541,"אֲנִי מַקְשִׁיב לְמוּזִיקָה טוֹבָה.","Я слушаю хорошую музыку.","Глаголы","s_f29ff275c917.mp3","Мужской"
542,"הַמּוֹרֶה מַסְבִּיר אֶת הַשִּׁעוּר.","Учитель объясняет урок.","Глаголы","s_b70cfeed8e90.mp3","Женский"
543,"הוּא מִתְלַבֵּשׁ יָפֶה הַיּוֹם.","Он одевается красиво сегодня.","Глаголы","s_2067169da26e.mp3","Мужской"
544,"אֲנִי מִתְרַחֵץ בַּמִּקְלַחַת עַכְשָׁיו.","Я моюсь в душе сейчас.","Глаголы","s_73f7a5b87f0b.mp3","Мужской"
545,"אֲנִי מִתְרַגֵּשׁ מְאוֹד הַיּוֹם.","Я очень волнуюсь сегодня.","Глаголы","s_5fef53372d49.mp3","Мужской"
546,"אֲנִי מִצְטַעֵר עַל הַטָּעוּת.","Я сожалею об ошибке.","Глаголы","s_ee6caa2b285d.mp3","Мужской"
547,"הוּא מִתְפַּלֵּל בְּבֵית הַכְּנֶסֶת.","Он молится в синагоге.","Глаголы","s_d98fd7e8ac22.mp3","Мужской"
548,"הוּא מִתְחַתֵּן עִם שָׂרָה.","Он женится на Саре.","Глаголы","s_cf28786c997d.mp3","Мужской"
549,"אֲנִי מִתְנַצֵּל עַל הָאִחוּר.","Я извиняюсь за опоздание.","Глаголы","s_bcdec44f16cf.mp3","Мужской"
550,"אֲנִי רוֹאֶה אֶת הַיָּם.","Я вижу море.","Глаголы","s_0378a97bbdc2.mp3","Мужской"
551,"אֲנִי מֵבִין עִבְרִית הֵיטֵב.","Я хорошо понимаю иврит.","Глаголы","s_4d6442d1d763.mp3","Мужской"
552,"הוּא נוֹתֵן לִי מַפְתֵּחַ.","Он дает мне ключ.","Глаголы","s_3871386a49de.mp3","Мужской"
553,"הַמְּחִיר כּוֹלֵל חַשְׁמָל וּמַיִם.","Цена включает электричество и воду.","Глаголы","s_2ed37ef76f82.mp3","Мужской"
554,"דָּנִי פּוֹגֵשׁ חָבֵר בַּקָּפֶה.","Дани встречает друга в кафе.","Глаголы","s_d5c7307a3611.mp3","Мужской"
555,"אֲנִי זוֹכֵר אֶת הַכֹּל.","Я всё помню.","Глаголы","s_20b4b062d986.mp3","Мужской"
556,"הוּא תָּמִיד שׁוֹכֵחַ מַפְתְּחוֹת.","Он всегда забывает ключи.","Глаголы","s_d55a4c17ad73.mp3","Мужской"
557,"הוּא מוֹצֵא עֲבוֹדָה טוֹבָה.","Он находит хорошую работу.","Глаголы","s_b930c2d02d1a.mp3","Мужской"
558,"אֲנִי טוֹעֵן אֶת הַטֶּלֶפוֹן.","Я заряжаю телефон.","Глаголы","s_891732bac8a2.mp3","Мужской"
559,"הוּא חוֹתֵךְ אֶת הַלֶּחֶם.","Он режет хлеб.","Глаголы","s_5ed15a01f9e5.mp3","Женский"
560,"הוּא מְטַגֵּן אֶת הַבָּצָל.","Он жарит лук.","Глаголы","s_a4083ec03805.mp3","Женский"
561,"הוּא מוֹסִיף מֶלַח לַמָּרָק.","Он добавляет соль в суп.","Глаголы","s_7fb7b1b93c01.mp3","Мужской"
562,"דָּנִי כּוֹתֵב מִכְתָּב עַכְשָׁיו.","Дани пишет письмо сейчас.","Глаголы","s_0ba5906e8cf8.mp3","Мужской"
563,"הוּא לוֹמֵד עִבְרִית בָּאוּלְפָּן.","Он учит иврит в ульпане.","Глаголы","s_b649b8fc818e.mp3","Мужской"
564,"יוֹסִי עוֹבֵד בַּמִּשְׂרָד הַזֶּה.","Йоси работает в этом офисе.","Глаголы","s_36f396f8bfa1.mp3","Мужской"
565,"דָּנִי אוֹכֵל תַּפּוּחַ טָעִים.","Дани ест вкусное яблоко.","Глаголы","s_ac8eae1715d7.mp3","Мужской"
566,"הוּא שׁוֹמֵעַ מוּזִיקָה עַכְשָׁיו.","Он слушает музыку сейчас.","Глаголы","s_de7ed20bb458.mp3","Мужской"
567,"הוּא סוֹגֵר אֶת הַדֶּלֶת.","Он закрывает дверь.","Глаголы","s_6c6f7723451d.mp3","Женский"
568,"הוּא פּוֹתֵחַ אֶת הַחַלּוֹן.","Он открывает окно.","Глаголы","s_4629d7147e42.mp3","Женский"
569,"הַתַּלְמִיד כּוֹתֵב מִכְתָּב עַכְשָׁיו.","Ученик пишет письмо сейчас.","Глаголы","s_060f14f87dda.mp3","Мужской"
570,"דָּנִי לוֹמֵד עִבְרִית בָּאוּלְפָּן.","Дани учит иврит в ульпане.","Глаголы","s_91e367e59eca.mp3","Мужской"
571,"אֲנִי שׁוֹמֵעַ מוּזִיקָה טוֹבָה.","Я слушаю хорошую музыку.","Глаголы","s_1c04ca7037ef.mp3","Мужской"
572,"הוּא סוֹגֵר אֶת הַחַלּוֹן.","Он закрывает окно.","Глаголы","s_eac573c83a5f.mp3","Женский"
573,"הַיֶּלֶד אוֹכֵל תַּפּוּחַ מָתוֹק.","Ребёнок ест сладкое яблоко.","Глаголы","s_381ab3c32573.mp3","Мужской"
574,"אֲנִי פּוֹגֵשׁ חָבֵר בַּקָּפֶה.","Я встречаю друга в кафе.","Глаголы","s_fad409b16b53.mp3","Мужской"
575,"הַכַּתָּב שׁוֹאֵל שְׁאֵלוֹת קָשׁוֹת.","Репортер задает трудные вопросы.","Глаголы","s_0734555c9b7a.mp3","Мужской"
576,"הַכַּתָּב עוֹבֵד בָּעִתּוֹן הַזֶּה.","Репортер работает в этой газете.","Глаголы","s_83b79e0cb66e.mp3","Мужской"
577,"הוּא לוֹמֵד רְפוּאָה בָּאוּנִיבֶרְסִיטָה.","Он изучает медицину в университете.","Глаголы","s_dab4eefd3870.mp3","Мужской"
578,"הַתַּלְמִידִים לוֹמְדִים כָּל יוֹם.","Ученики учатся каждый день.","Глаголы","s_f4b329d2fc62.mp3","Мужской"
579,"הָעֶבֶד רוֹצֶה לִהְיוֹת חוֹפְשִׁי.","Раб хочет быть свободным.","Глаголы","s_87eb2908b398.mp3","Мужской"
580,"הֵם עוֹבְדִים בַּמִּשְׂרָד הַזֶּה.","Они работают в этом офисе.","Глаголы","s_3cb60dd4c1ee.mp3","Мужской"
581,"יֵשׁ סֶגֶר בָּעִיר עַכְשָׁיו.","В городе сейчас комендантский час.","Глаголы","s_9c070d9a318a.mp3","Мужской"
582,"אֲנִי עוֹמֵד לְיַד הַפֶּתַח.","Я стою возле входа.","Глаголы","s_475512a5daed.mp3","Мужской"
583,"הַמּוֹרֶה אוֹמֵר שָׁלוֹם לַכִּתָּה.","Учитель говорит классу привет.","Глаголы","s_2eae7e80e267.mp3","Женский"
584,"הֵם אוֹמְרִים אֶת הָאֱמֶת.","Они говорят правду.","Глаголы","s_6d7ab92d0ec3.mp3","Женский"
585,"הוּא הוֹלֵךְ לָעֲבוֹדָה בַּבּוֹקֶר.","Он идёт на работу утром.","Глаголы","s_42ba63b2f3a3.mp3","Мужской"
586,"הַיְּלָדִים הוֹלְכִים לְבֵית הַסֵּפֶר.","Дети идут в школу.","Глаголы","s_a5b4a1463d40.mp3","Мужской"
587,"אֲנִי גָּר בִּירוּשָׁלַיִם עַכְשָׁיו.","Я живу в Иерусалиме сейчас.","Глаголы","s_db65c412092d.mp3","Мужской"
588,"אֲנִי קָם מוּקְדָּם בַּבּוֹקֶר.","Я встаю рано утром.","Глаголы","s_5e31540d4fd7.mp3","Мужской"
589,"אֲנִי בָּא לַבַּיִת שֶׁלְּךָ.","Я прихожу к тебе домой.","Глаголы","s_a11185db9301.mp3","Мужской"
590,"אֲנִי בָּא בַּשָּׁבוּעַ הַבָּא.","Я приду на следующей неделе.","Глаголы","s_0e1af1d242fa.mp3","Мужской"
591,"הָאוֹרְחִים בָּאִים לַמְּסִיבָּה הָעֶרֶב.","Гости приходят на вечеринку вечером.","Глаголы","s_7ceea064ea25.mp3","Мужской"
592,"הַצֶּמַח הַזֶּה מֵת בַּחוֹרֶף.","Это растение погибает зимой.","Глаголы","s_ce763f18dd51.mp3","Мужской"
593,"הַנֶּחָת מְשָׁרֵת בַּצָּבָא הָאָמֶרִיקָאִי.","Морской пехотинец служит в американской армии.","Глаголы","s_fb3aabb26459.mp3","Мужской"
594,"אֲנִי טָס לְיִשְׂרָאֵל מָחָר.","Я лечу в Израиль завтра.","Глаголы","s_5aa605626e9a.mp3","Мужской"
